#dim = 2
#xspins = 100
#yspins = 100
#J = 2
#B = 5
#beta = 0.333333
#betaMax = 0.5
#steps = 400
#running = 100000

0 0.0183914 0.23667
0.0625 0.0734222 0.11969
0.125 0.149443 0.09886
0.1875 0.240961 0.08198
0.25 0.314381 0.07232
0.3125 0.422999 0.06218
0.375 0.542954 0.05373
0.4375 0.66959 0.04253
0.5 0.768876 0.02958
0.5625 0.836464 0.02029
0.625 0.882906 0.01084
0.6875 0.892062 0.00786
0.75 0.893982 0.00691
0.8125 0.893514 0.00688
0.875 0.894931 0.00584
0.9375 0.894471 0.00564
1 0.894847 0.00622
1.0625 0.89515 0.0055
1.125 0.895323 0.00562
1.1875 0.895972 0.0044
1.25 0.895181 0.0052
1.3125 0.895764 0.00464
1.375 0.895598 0.00478
1.4375 0.896061 0.00429
1.5 0.896652 0.00382
1.5625 0.896606 0.00358
1.625 0.896276 0.00388
1.6875 0.897144 0.00347
1.75 0.896803 0.00324
1.8125 0.897176 0.00317
1.875 0.897389 0.0029
1.9375 0.897543 0.00315
2 0.897349 0.00275
2.0625 0.897568 0.00292
2.125 0.897585 0.00272
2.1875 0.898238 0.00196
2.25 0.898322 0.00204
2.3125 0.897869 0.00214
2.375 0.898312 0.00191
2.4375 0.898288 0.0018
2.5 0.898394 0.00198
2.5625 0.89799 0.00196
2.625 0.898451 0.00202
2.6875 0.898642 0.0016
2.75 0.898252 0.00153
2.8125 0.8984 0.0019
2.875 0.898737 0.00145
2.9375 0.89866 0.00153
3 0.897992 0.00163
3.0625 0.898914 0.00136
3.125 0.898554 0.00147
3.1875 0.898973 0.00111
3.25 0.899029 0.00109
3.3125 0.899209 0.00094
3.375 0.898948 0.00099
3.4375 0.899146 0.00068
3.5 0.899531 0.00078
3.5625 0.899225 0.00079
3.625 0.899206 0.00098
3.6875 0.899422 0.00078
3.75 0.899565 0.00078
3.8125 0.899334 0.00078
3.875 0.899153 0.00088
3.9375 0.899412 0.00059
4 0.899085 0.00073
4.0625 0.899072 0.00098
4.125 0.899399 0.00057
4.1875 0.89946 0.00048
4.25 0.899307 0.0007
4.3125 0.899381 0.00056
4.375 0.899375 0.00079
4.4375 0.899784 0.00045
4.5 0.899362 0.00057
4.5625 0.899411 0.00065
4.625 0.899958 0.00033
4.6875 0.899156 0.00049
4.75 0.89967 0.00049
4.8125 0.899858 0.0004
4.875 0.899048 0.00049
4.9375 0.899765 0.00045
5 0.899595 0.00037
4.9375 0.899616 0.00042
4.875 0.899641 0.00037
4.8125 0.899736 0.0004
4.75 0.899651 0.00047
4.6875 0.899719 0.00038
4.625 0.899399 0.00043
4.5625 0.899792 0.00051
4.5 0.899508 0.00051
4.4375 0.899239 0.00055
4.375 0.899674 0.00049
4.3125 0.899488 0.00047
4.25 0.899116 0.00048
4.1875 0.899603 0.00047
4.125 0.899323 0.00064
4.0625 0.899251 0.00059
4 0.899173 0.00095
3.9375 0.899725 0.00058
3.875 0.899491 0.00081
3.8125 0.899689 0.00064
3.75 0.899483 0.00071
3.6875 0.899215 0.00096
3.625 0.898816 0.00081
3.5625 0.899333 0.00077
3.5 0.899446 0.0009
3.4375 0.898908 0.00104
3.375 0.899029 0.00118
3.3125 0.899238 0.00115
3.25 0.898969 0.00111
3.1875 0.898962 0.00111
3.125 0.899067 0.00135
3.0625 0.898786 0.00102
3 0.898765 0.00128
2.9375 0.898702 0.00127
2.875 0.898806 0.00138
2.8125 0.898684 0.00164
2.75 0.898754 0.00144
2.6875 0.898368 0.0016
2.625 0.898737 0.00152
2.5625 0.898565 0.00172
2.5 0.898087 0.00174
2.4375 0.897738 0.00246
2.375 0.897743 0.00233
2.3125 0.897994 0.00233
2.25 0.898272 0.00206
2.1875 0.897887 0.00245
